From Resource A	To Resource B	Why?	Suggested By	Status	Website Res. A	Website Res. B
NDEx	CRAVAT	NDEx has been incorporated into the CRAVAT application as a source of networks for pathway enrichment analysis of variants.	Dexter Pratt	Exists	http://www.ndexbio.org	
NDEx	OmniSearch	Identified candidate networks for ncRNAs under investigation	Jingshan Huang	Proposed	http://www.ndexbio.org	
NDEx	UCSC Xena	Display genomics data in the context of biological pathways	Jingchun Zhu	Proposed	http://www.ndexbio.org	
NG-CHM	C-BIBOP	Visualization for radiomics challenges and to develop feature ontology	Jayashree Kalpathy-Cramer	Proposed		
NG-CHM	cBioPortal	Link to cBioPortal from selected samples in NG-CHM	Bradley Broom	Exists		
NG-CHM	CDSA	Visualize TCGA slide of sample included in heat map	Bradley Broom	Exists		
NG-CHM	CIViC	Link to CIViC gene record pages from heatmap gene labels	Bradley Broom	Exists		
NG-CHM	CIViC	View variant information of genes included in a heat map	Bradley Broom	Exists		
NG-CHM	CRAVAT	View structure of genes included in a heat map	Bradley Broom	Exists		
NG-CHM	RADIOMICS.io	Visualize radiomics data with clustered heat maps	Juli Klemm	Proposed		
NG-CHM	TCPA	Visualization of RPPA data	Juli Klemm	Exists		
PDX Finder	CIViC	Provide PDX model/sample variants to CIViC		Proposed		
PDX Finder	CRAVAT	To visualize mutations in context of 3D structures and assess significance	Carol Bult	Proposed		
PETCT-CoSeg	3D Slicer	Collection of 3D Slicer extensions for quantitative analysis of PET-CT data	Andrey Fedorov	Exists		
PETCT-CoSeg	RADIOMICS.io	Integrate to the radiomics tools to facilate the use of both PET and CT	Xiaodong Wu	Proposed		
QUIP	3D Slicer	"Pathology ground truth, 3D Pathology segmentation"	Joel Saltz	Ongoing		
QUIP	SlicerDMRI	Evaluate dMRI microstructure measures vs stereotactic samples from neurosurgery	Lauren O'Donnell	Proposed		
RADIOMICS.io	CaPTK	Integrate radiomic features into CaPTk predictive models	Christos Davatzikos	Proposed		
RADIOMICS.io	dcmqi	dcmqi can be used to store the radiomics features in a structured and standardized format	Andrey Fedorov	Ongoing		
SlicerDMRI	3D Slicer	"3D Slicer is the interactive platform, where SlicerDMRI is a problem-specific solution"	Andrey Fedorov	Exists		
SlicerDMRI	XNAT	Enable DICOM tractography in XNAT	Lauren O'Donnell	Proposed		
TCPA	UCSC Xena	Add RPPA data for CCLE data (RNAseq and CNV) already in Xena	Mary Goldman	Proposed		
THRIVE	LesionTracker	Cornerstone is used for visualizing multiplexed data	Andrey Fedorov	Ongoing		
THRIVE	XNAT	Workflow to curate pathology image submissions	Brion Sarachan	Proposed		
Trinity	CIViC	"inferring significance of rna-seq based fusions & mutations, also curating fusions in literature"	Brian Haas	Proposed		
Trinity	IGV	"Visualize ab initio-assembled transcriptomes, read alignments, sequence variants, and fusions"	Brian Haas / James Robinson	Ongoing		
UCSC Xena	CRAVAT	Intepret mutations	Jingchun Zhu	Exists		
UCSC Xena	OmniSearch	TCGA and GTEx data provided by Xena Data Store	Jingshan Huang	Proposed		
UCSC Xena	TIES	Integrate TIES's NLP-based clinical data search with the Xena browser allowing Xena users to use clinical report text to search for samples and genomic results.	Juli Klemm	Ongoing		
XNAT	3D Slicer	Use 3D Slicer as an interface to interact with the XNAT-hosted data	Andrey Fedorov	Exists		
XNAT	CaPTK	Use CaPTk as an interface to interact with the XNAT-hosted data	Christos Davatzikos / Spyridon Bakas	Proposed		
XNAT	dcmqi	Conversion of the analysis results into structured and standardized format	Andrey Fedorov	Proposed		
XNAT	DICOM ToolKit (DCMTK)	Integration of DICOM object headers and images into XNAT data model	John Flavin	Proposed		
XNAT	LesionTracker	Emded LesionTracker as visualization/measurement app in XNAT	Dan Marcus	Ongoing		
CIViC	cBioPortal	Provides clinical interpretation of variants along side pan cancer genomic information from cBioPortal	Malachi Griffith	Exists		
CIViC	TIES	Use TIES to identify patient records that might benefit from variant knowledge in CIViC and also identify patient classes with genomic events that are not well represented in CIViC	Malachi Griffith	Proposed		
CIViC	OmniSearch	Use OmniSearch to identify miRNA genes whose clinical relevance should be documented in CIViC	Malachi Griffith	Proposed		
CIViC	CLAMP-Cancer	Use CLAMP-Cancer to identify pathology reports that might benefit from variant knowledge in CIViC and also identify patient classes with genomic events that are not well represented in CIViC	Malachi Griffith	Proposed		
NDEx	TCPA	"Enable integration of TCPA protein co-expression network outputs with existing reference networks (PPI, drug-target interaction, gene-pathway or gene-disease association, etc.) through the development of a network normalization schema."	Rudi Pillich	Ongoing	http://www.ndexbio.org	
TIES	TCIA	Enable histopathologic images to be shared along with radiology images for cancer research	Michael J. Becich	Proposed		
TIES	QUIP	Automated cell level annotation of histopathoogic images for cancer research image discovery	Michael J. Becich	Proposed		
TIES	THRIVE	Automated spatial annotation of histopathoogic images for cancer research image discovery	Michael J. Becich	Proposed		
TIES	Globus	Move from Globus Toolkit to Globus Auth for federated ID management	Michael J. Becich	Proposed		
EMERSE	OpenCDS	Identify assertions of cancer family history within unstructured EHR clinical reports	Guilherme Del Fiol	Ongoing		
PDX Finder	cBioPortal	Cross-linking PDX samples in the two resources	Terry Meehan	Proposed		
PDX Finder	CDSA	For use towards a mouse histopathology resource	Terry Meehan	Proposed		
Globus	TCIA	Use Globus to access TCIA hosted data	Ian Foster	Proposed		
Globus	CRAVAT	Integrate CRAVAT with Globus Genomics	Ravi Madduri	Proposed		
Globus	Galaxy-P multi-omics	Integrate Galaxy-P tools with Globus Genomics	Ravi Madduri	Exists		
Globus	CIVIC	Integrate CIVIC with Globus Genomcis	Ravi Madduri	Proposed		
Globus	IGV	Integration of IGV and Globus Genomics	Ravi Madduri	Exists		
Globus	Trinity	Integration of Trinity with Globus Genomics	Ravi Madduri	Exists		
cBioPortal	IGV	View genomic data in igv.js embedded in the cBioPortal	Helga Thorvaldsdottir	Ongoing		
IGV	CRAVAT	Add to IGV the ability to directly link to the analysis and annotation capabilities of CRAVAT and the visualization capabilities of MuPIT	Helga Thorvaldsdottir	Ongoing		
CDSA	cBioPortal	Visualize TCGA cancer slides in the cBioPortal using CDSA	JJ Gao	Exists		
CDGnet	NDEx	"Integrate networks developed in CDGnet with those in NDEx, perform normalization and standardization"	"Rudi Pillich, Dexter Pratt, Simina Boca"	Proposed		http://www.ndexbio.org
TCIA	dcmqi	Conversion of the analysis results into structured and standardized format	Andrey Fedorov	Exists		
JBrowse	CIVIC	View CIViC variants as annotation track in the context of JBrowse cancer data bundle	Ian Holmes	Proposed		
CIVIC	JBrowse	In-page widget to dynamically render variant annotations onto a protein cartoon	Ian Holmes	Proposed		
GEMINI	CIVIC	Prioritize clinically relevant genes and mutations	Aaron Quinkan	Exists		
SingleCellTK	Single Cell Genome Viewer	Additional visualization. Link DNA sequencing and RNA-sequencing from same cell	Evan Johnson	Proposed		
SingleCellTK	cBioPortal	Link single cell analysis results to public bulk RNA-sequencing data	Evan Johnson	Proposed		
SingleCellTK	GenePattern Notebooks	Implement the singleCellTK workflkow and pipeline into GenePatternNotebooks	Evan Johnson	Proposed		
SingleCellTK	Bioconductor	"Use Bioconductor data structures, such as the summarizedExperiment and SingleCellExperiment to manage data and analyses"	Evan Johnson	Exists		
LesionTracker	TCIA	Deploy LesionTracker-based web viewer to view / crowdsource annotations on TCIA datasets	Gordon Harris	Proposed		
LesionTracker	RADIOMICS.io	Integrate Radiomics feature calculators into LesionTracker client-side packages	Gordon Harris	Proposed		
LesionTracker	PETCT-CoSeg	Integrate PETCT-CoSeg segmentation algorithms into LesionTracker client-side packages or wrap as server-side services	Gordon Harris	Proposed		
Bioconductor	AMARETTO	Integrative statistical learning using ontology and network methods in cancer genomics	"Nathalie Pochet, Vincent Carey"	Ongoing		
