PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AKT1	controls-phosphorylation-of	TERT	NetPath	15843522	IL2	http://pathwaycommons.org/pc2/BiochemicalReaction_454bc1d745683e39d49edfa26233529c;http://pathwaycommons.org/pc2/Catalysis_b88c4a2bcade6599c1bcc9d90f90c9f5
AKT1	controls-state-change-of	TERT	NetPath	15843522	IL2	http://pathwaycommons.org/pc2/BiochemicalReaction_454bc1d745683e39d49edfa26233529c;http://pathwaycommons.org/pc2/Catalysis_b88c4a2bcade6599c1bcc9d90f90c9f5
AKT1	interacts-with	TERT	NetPath	15843522	IL2	http://pathwaycommons.org/pc2/MolecularInteraction_5365e7170d3252ea43135167bf067d3c
AKT1	in-complex-with	ZAP70	NetPath			http://pathwaycommons.org/pc2/Complex_350538d7af475725fe497f291bc20507
AKT2	controls-phosphorylation-of	CHUK	NetPath	12048203	TNFalpha	http://pathwaycommons.org/pc2/Catalysis_805fd4d5e0f577663e70f3171663c156;http://pathwaycommons.org/pc2/BiochemicalReaction_9433ad15d31a785a542df1d493f88cc8
AKT2	controls-state-change-of	CHUK	NetPath	12048203	TNFalpha	http://pathwaycommons.org/pc2/Catalysis_805fd4d5e0f577663e70f3171663c156;http://pathwaycommons.org/pc2/BiochemicalReaction_9433ad15d31a785a542df1d493f88cc8
AKT2	interacts-with	FSHR	NetPath	15070827	FSH	http://pathwaycommons.org/pc2/MolecularInteraction_fd41426dd3d969c8197cd27f28b61aae
ALPL	interacts-with	TRAF3	NetPath	15208311	TNFalpha	http://pathwaycommons.org/pc2/MolecularInteraction_0f6946fd75d06effc8ad9563ee468a83
ANAPC10	in-complex-with	ANAPC2	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	ANAPC4	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	ANAPC5	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	ANAPC7	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	CDC16	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	CDC23	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	in-complex-with	CDC27	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC10	interacts-with	FZR1	NetPath	10500174	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_b88a49c742d5941afde6e4ef0740af76
ANAPC1	in-complex-with	ANAPC10	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	ANAPC2	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	ANAPC4	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	ANAPC5	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	ANAPC7	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	CDC16	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	CDC23	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	in-complex-with	CDC27	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC1	interacts-with	FZR1	NetPath	10500174	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_b88a49c742d5941afde6e4ef0740af76
ANAPC2	in-complex-with	ANAPC4	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC2	in-complex-with	ANAPC5	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC2	in-complex-with	ANAPC7	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
ANAPC2	in-complex-with	CDC16	NetPath			http://pathwaycommons.org/pc2/Complex_f768da88df83852d357a9e8c42054bdb;http://pathwaycommons.org/pc2/Complex_5d13dd63fb487fca7dc7eb75067e3e79;http://pathwaycommons.org/pc2/Complex_ffbd376fb47df94e2f3155f2b7830566
