Interaction ID	Uniprot1	Uniprot2	Name1	Name2	Entrez1	Entrez2	Ensembl1	Ensembl2	Method	Source	Pubmed ID	Method score	Annotation score	Total score	Confidence	Type	Pathway
184079.html	Q9BXW9	P51587	FANCD2	BRCA2	2177	675	ENST00000287647 [Q9BXW9-1];ENST00000383807 [Q9BXW9-2];ENST00000419585 [Q9BXW9-2];ENST00000431693 [Q9BXW9-4]	ENST00000380152;ENST00000544455	direct interaction;physical association;association	intact	15199141;20450923;15115758;18212739;18263878	0.86192	0.6	0.719132811099591	High	Small-scale	hsa03460
485294.html	Q13489	P55210	BIRC3	CASP7	330	840	ENST00000263464;ENST00000532808;ENST00000615299	ENST00000345633 [P55210-1];ENST00000369315 [P55210-1];ENST00000369318 [P55210-1];ENST00000369331 [P55210-2];ENST00000452490 [P55210-4];ENST00000614447 [P55210-2];ENST00000621345 [P55210-1];ENST00000621607 [P55210-3]	direct interaction;physical association	biogrid	16339151;9384571	0.58918	0.6	0.594565387489047	High	Small-scale	hsa04210
37431.html	Q9NPD8	Q9BXW9	UBE2T	FANCD2	29089	2177	ENST00000367274	ENST00000287647 [Q9BXW9-1];ENST00000383807 [Q9BXW9-2];ENST00000419585 [Q9BXW9-2];ENST00000431693 [Q9BXW9-4]	direct interaction	biogrid	26046368	0.41838	0.55	0.479696779226211	High	Small-scale	hsa03460
220042.html	P15311	P17252	EZR	PRKCA	7430	5578	ENST00000337147;ENST00000367075	ENST00000413366	direct interaction;physical association	biogrid	10970850;11387207	0.56617	0.6	0.582839600576351	High	Small-scale	hsa04971
192137.html	P41240	P12931	CSK	SRC	1445	6714	ENST00000220003;ENST00000439220;ENST00000567571	ENST00000358208 [P12931-1];ENST00000373558 [P12931-2];ENST00000373567 [P12931-1];ENST00000373578 [P12931-1]	direct interaction;physical association	intact	17525734;7513429	0.58918	1	0.767580614658812	High	Small-scale	hsa05120
253361.html	Q8N4Y1	P01112		HRAS	5900	3265		ENST00000311189 [P01112-1];ENST00000397594 [P01112-2];ENST00000397596 [P01112-1];ENST00000417302 [P01112-2];ENST00000451590 [P01112-1];ENST00000493230 [P01112-2];ENST00000610977 [P01112-1];ENST00000615062 [P01112-1];ENST00000616241 [P01112-2];ENST00000631404 [P01112-1];ENST00000631967 [P01112-2];ENST00000634098 [P01112-2]	direct interaction	hprd	9038168;7972015	0.56831	0.8	0.674275907919006	High	Small-scale	hsa04014;hsa04072;hsa05200;hsa05231
7357.html	P28482	P05023	MAPK1	ATP1A1	5594	476	ENST00000215832 [P28482-1];ENST00000398822 [P28482-1];ENST00000544786 [P28482-2]	ENST00000295598 [P05023-1];ENST00000369496 [P05023-3];ENST00000537345 [P05023-4]	direct interaction	biogrid	15069082	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04919
380231.html	Q15653	Q04206	NFKBIB	RELA	4793	5970	ENST00000313582 [Q15653-1];ENST00000572515 [Q15653-2];ENST00000634647 [Q15653-2];ENST00000635517 [Q15653-1]	ENST00000308639 [Q04206-4];ENST00000406246 [Q04206-1]	direct interaction;physical association;association	intact	26186194;8816457;14685242;14743216;12672800;8887627;10498867;22081069;21988832	0.9475	1	0.973396116696589	High	Small-scale	hsa04062;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04722;hsa05131;hsa05140;hsa05145;hsa05162;hsa05164;hsa05168;hsa05169
138563.html	O00459	P43405	PIK3R2	SYK	5296	6850	ENST00000222254;ENST00000617130	ENST00000375746 [P43405-1];ENST00000375747 [P43405-2];ENST00000375751 [P43405-2];ENST00000375754 [P43405-1]	direct interaction;physical association	intact	15536084	0.43029	1	0.655964938087395	High	Small-scale	hsa04650;hsa04664;hsa04666
256144.html	P04275	P07359	VWF	GP1BA	7450	2811	ENST00000261405 [P04275-1]	ENST00000329125	direct interaction;association	intact	15039442;12183630	0.6169	1	0.785429818634358	High	Small-scale	hsa04512;hsa04611
539418.html	P58004	Q9NXC5	SESN2	MIOS	83667	54468	ENST00000253063	ENST00000340080 [Q9NXC5-1];ENST00000405785 [Q9NXC5-1]	physical association	dip	26586190	0.3819	0.6	0.478685700642917	High	Small-scale	hsa04150
252854.html	Q15080	P13498	NCF4	CYBA	4689	1535	ENST00000248899 [Q15080-1];ENST00000397147 [Q15080-3];ENST00000614157 [Q15080-2];ENST00000625504 [Q15080-2]	ENST00000261623	direct interaction	intact	11893732;17803994	0.54423	0.6	0.571435035677722	High	Small-scale	hsa05140
201398.html	P23528	P63261	CFL1	ACTG1	1072	71	ENST00000308162;ENST00000525451	ENST00000331925;ENST00000573283;ENST00000575087;ENST00000575842;ENST00000576544;ENST00000615544	direct interaction;physical association	intact	16189514;unassigned1304;25416956	0.7623	1	0.873097932651315	High	High-throughput	hsa04810
478259.html	P13236	P32246	CCL4	CCR1	388372;6351	1230	ENST00000615863;ENST00000617322;ENST00000621600	ENST00000296140	direct interaction;physical association	dip	7545673;10910894;7594543	0.66268	1	0.814051595416408	High	Small-scale	hsa04062
145873.html	P29353	P08138	SHC1	NGFR	6464	4804	ENST00000368445 [P29353-1];ENST00000368450 [P29353-2];ENST00000368453 [P29353-7];ENST00000448116 [P29353-6]	ENST00000172229 [P08138-1];ENST00000504201 [P08138-2]	direct interaction;physical association	biogrid	7541035	0.46361	0.6	0.527414448038732	High	Small-scale	hsa04014
34127.html	Q05397	P13612	PTK2	ITGA4	5747	3676	ENST00000340930 [Q05397-5];ENST00000395218 [Q05397-7];ENST00000521059 [Q05397-1];ENST00000522684 [Q05397-1]	ENST00000339307 [P13612-2];ENST00000397033 [P13612-1]	physical association	biogrid	11919182	0.3819	0.6	0.478685700642917	High	Small-scale	hsa04810
34319.html	P63261	O14604	ACTG1	TMSB4Y	71	9087	ENST00000331925;ENST00000573283;ENST00000575087;ENST00000575842;ENST00000576544;ENST00000615544	ENST00000284856	direct interaction	hprd	8416954	0.27808	0.9	0.50027192605622	High	Small-scale	hsa04810
144434.html	P15336	P27361	ATF2	MAPK3	1386	5595	ENST00000264110 [P15336-1];ENST00000345739 [P15336-4];ENST00000392544 [P15336-1];ENST00000409499 [P15336-8];ENST00000409635 [P15336-4];ENST00000409833 [P15336-3];ENST00000426833 [P15336-5]	ENST00000263025 [P27361-1];ENST00000322266 [P27361-2];ENST00000395199 [P27361-3];ENST00000395202 [P27361-2]	physical association	intact	25241761	0.3819	0.6	0.478685700642917	High	High-throughput	hsa04915;hsa05034;hsa05161
441029.html	Q59FK4	Q8N8S7		ENAH	25	55740		ENST00000366843 [Q8N8S7-2];ENST00000366844 [Q8N8S7-1]	direct interaction	hprd	17101133	0.27808	0.5	0.372880677965485	High	Small-scale	hsa04360
530271.html	Q92569	P21860	PIK3R3	ERBB3	8503	2065	ENST00000262741 [Q92569-1];ENST00000372006 [Q92569-1];ENST00000420542 [Q92569-1];ENST00000423209 [Q92569-2]	ENST00000267101 [P21860-1];ENST00000411731 [P21860-2];ENST00000415288 [P21860-4];ENST00000551242 [P21860-3]	direct interaction;physical association;association	intact	16273093;24189400	0.63904	0.8	0.715004895088139	High	High-throughput	hsa04012
381937.html	P30874	P61278	SSTR2	SST	6752	6750	ENST00000357585 [P30874-1]	ENST00000287641	direct interaction	hprd	1346068	0.27808	0.6	0.408470317159032	High	Small-scale	hsa04971
89016.html	Q05655	P42336	PRKCD	PIK3CA	5580	5290	ENST00000330452 [Q05655-1];ENST00000394729 [Q05655-1]	ENST00000263967	direct interaction	hprd	11676480	0.27808	0.6	0.408470317159032	High	Small-scale	hsa04750
75068.html	Q9NPJ8	Q59E96	NXT2		55916	10482	ENST00000218004 [Q9NPJ8-3];ENST00000372103 [Q9NPJ8-4];ENST00000372106 [Q9NPJ8-1];ENST00000372107 [Q9NPJ8-4]		direct interaction	hprd	11073998	0.27808	0.5	0.372880677965485	High	Small-scale	hsa03013
445094.html	Q9Y2Q5	Q8NBW4	LAMTOR2	SLC38A9	28956	153129	ENST00000368302 [Q9Y2Q5-2];ENST00000368304 [Q9Y2Q5-3];ENST00000368305 [Q9Y2Q5-1]	ENST00000318672 [Q8NBW4-1];ENST00000396865 [Q8NBW4-1];ENST00000512595 [Q8NBW4-3];ENST00000515629 [Q8NBW4-4]	physical association;association	intact	25561175;25567906	0.54306	0.55	0.546518984116746	High	Small-scale	hsa04150
426066.html	P09619	P46108	PDGFRB	CRK	5159	1398	ENST00000261799 [P09619-1]	ENST00000300574 [P46108-1];ENST00000398970 [P46108-2]	direct interaction;physical association;association	intact	10733900	0.53941	1	0.734445368968993	High	Small-scale	hsa04015
515565.html	P51116	Q7L576	FXR2	CYFIP1	9513	23191	ENST00000250113	ENST00000610365 [Q7L576-1];ENST00000617556 [Q7L576-2];ENST00000617928 [Q7L576-1]	direct interaction;physical association	biogrid	11438699	0.50791	0.6	0.552038042167385	High	Small-scale	hsa03013
84069.html	Q8NHZ8	Q9UJX3	CDC26	ANAPC7	246184	51434	ENST00000374206	ENST00000450008 [Q9UJX3-2];ENST00000455511 [Q9UJX3-1]	association	intact	20360068	0.33064	0.6	0.445403188134077	High	High-throughput	hsa04110
26061.html	P52799	O43639	EFNB2	NCK2	1948	8440	ENST00000245323	ENST00000233154;ENST00000393349	direct interaction;association	intact	12206665;12606549;15764601	0.66866	0.6	0.633400347331765	High	Small-scale	hsa04360
76918.html	Q08999	Q14188	RBL2	TFDP2	5934	7029	ENST00000262133 [Q08999-1]	ENST00000467072 [Q14188-5];ENST00000477292 [Q14188-7];ENST00000479040 [Q14188-4];ENST00000486111 [Q14188-5];ENST00000489671 [Q14188-1];ENST00000495310 [Q14188-6];ENST00000499676 [Q14188-8]	physical association;association	intact	17531812	0.51142	0.6	0.553942235255627	High	Small-scale	hsa04110
332326.html	P30307	P62258	CDC25C	YWHAE	995	7531	ENST00000323760 [P30307-1];ENST00000348983 [P30307-4];ENST00000415130 [P30307-4];ENST00000513970 [P30307-1];ENST00000514555 [P30307-2]	ENST00000264335 [P62258-1];ENST00000571732 [P62258-2];ENST00000616643 [P62258-2];ENST00000627231 [P62258-1]	physical association;association	intact	19331823;15791647;10681541;10330186	0.75235	0.6	0.671870523240899	High	Small-scale	hsa04110;hsa04114
183030.html	Q6I9Y2	Q96FV9	THOC7	THOC1	80145	9984	ENST00000295899	ENST00000261600 [Q96FV9-1]	physical association;association	intact	26496610;19059247	0.60237	0.55	0.575589697614542	High	Small-scale	hsa03013
513215.html	Q99963	P00533	SH3GL3	EGFR	6457	1956	ENST00000324537 [Q99963-3];ENST00000427482 [Q99963-1]	ENST00000275493 [P00533-1];ENST00000342916 [P00533-4];ENST00000344576 [P00533-3];ENST00000420316 [P00533-2]	direct interaction;physical association	intact	24658140;25402006	0.62588	0.6	0.612803394246474	High	High-throughput	hsa04144
6026.html	Q9UM11	Q9H1A4	FZR1	ANAPC1	51343	64682	ENST00000313639 [Q9UM11-3];ENST00000395095 [Q9UM11-1];ENST00000441788 [Q9UM11-2]	ENST00000341068	direct interaction	biogrid	12956947	0.42254	0.6	0.503511668186548	High	Small-scale	hsa04914
215938.html	P04626	Q92569	ERBB2	PIK3R3	2064	8503	ENST00000269571 [P04626-1];ENST00000406381 [P04626-5];ENST00000541774 [P04626-4];ENST00000584601 [P04626-5]	ENST00000262741 [Q92569-1];ENST00000372006 [Q92569-1];ENST00000420542 [Q92569-1];ENST00000423209 [Q92569-2]	direct interaction	intact	16273093	0.42254	1	0.650030768502538	High	High-throughput	hsa01522;hsa01524;hsa04012;hsa04066;hsa04510;hsa05200;hsa05212;hsa05215;hsa05224;hsa05230
62885.html	P42702	P13725	LIFR	OSM	3977	5008	ENST00000263409 [P42702-1];ENST00000453190 [P42702-1]	ENST00000215781	direct interaction;physical association	intact	16051226;1536831;8999038;1542794	0.77233	0.6	0.680733428002474	High	Small-scale	hsa04060;hsa04630
319948.html	P26717	P13747	KLRC2	HLA-E	3822	3133	ENST00000381902	ENST00000383597;ENST00000415289;ENST00000415649;ENST00000427936	direct interaction;physical association	intact	9486650;9103421;18083576	0.61228	1	0.782483226657288	High	Small-scale	hsa04612;hsa04650
263901.html	Q8TAA9	O14640	VANGL1	DVL1	81839	1855	ENST00000310260 [Q8TAA9-1];ENST00000355485 [Q8TAA9-1];ENST00000369509 [Q8TAA9-1];ENST00000369510 [Q8TAA9-2]	ENST00000378888 [O14640-1];ENST00000378891 [O14640-2]	direct interaction	hprd	15456783	0.38507	0.6	0.48066828478692	High	Small-scale	hsa04310
62374.html	Q15303	P29353	ERBB4	SHC1	2066	6464	ENST00000342788 [Q15303-1];ENST00000436443 [Q15303-3]	ENST00000368445 [P29353-1];ENST00000368450 [P29353-2];ENST00000368453 [P29353-7];ENST00000448116 [P29353-6]	direct interaction;physical association	intact	16273093;24658140;16729043	0.71172	1	0.843634992161895	High	Small-scale	hsa04012
133093.html	P46109	P49023	CRKL	PXN	1399	5829	ENST00000354336;ENST00000411769	ENST00000228307 [P49023-1];ENST00000267257 [P49023-3];ENST00000424649 [P49023-2];ENST00000458477 [P49023-4]	direct interaction;physical association;association	intact	11463817;8978305;7493940	0.72708	0.6	0.660490726657082	High	Small-scale	hsa04510
528086.html	Q9P0L9	Q7Z443	PKD2L1	PKD1L3	9033	342372	ENST00000318222 [Q9P0L9-1]	ENST00000620267	physical association	intact	18535624	0.3819	1	0.617980582219215	High	Small-scale	hsa04742
433543.html	P13725	Q99650	OSM	OSMR	5008	9180	ENST00000215781	ENST00000274276 [Q99650-1];ENST00000502536 [Q99650-2]	direct interaction	hprd	10997905;8999038	0.40393	0.6	0.492298689821535	High	Small-scale	hsa04060;hsa04151;hsa04630
364772.html	P42263	P07948	GRIA3	LYN	2892	4067	ENST00000541091 [P42263-1];ENST00000620443 [P42263-2];ENST00000622768 [P42263-1]	ENST00000519728 [P07948-1];ENST00000520220 [P07948-2]	direct interaction	hprd	9892356	0.27808	0.6	0.408470317159032	High	Small-scale	hsa04730
366973.html	P63027	P32856	VAMP2	STX2	6844	2054	ENST00000316509	ENST00000261653 [P32856-2];ENST00000392373 [P32856-1]	direct interaction;physical association	intact	unassigned1304;12828989	0.58832	1	0.767020208338737	High	Small-scale	hsa04130;hsa04721
72287.html	Q92569	P06213	PIK3R3	INSR	8503	3643	ENST00000262741 [Q92569-1];ENST00000372006 [Q92569-1];ENST00000420542 [Q92569-1];ENST00000423209 [Q92569-2]	ENST00000302850 [P06213-1];ENST00000341500 [P06213-2]	direct interaction	hprd	9524259	0.38507	1	0.620540087343275	High	Small-scale	hsa04066;hsa04072
47658.html	P38919	Q9UBU9	EIF4A3	NXF1	9775	10482	ENST00000269349	ENST00000294172 [Q9UBU9-1];ENST00000531709 [Q9UBU9-2];ENST00000532297 [Q9UBU9-1]	direct interaction;association	intact	14730019	0.44411	0.6	0.516203448264345	High	Small-scale	hsa03013
482674.html	P28482	Q9UHA4	MAPK1	LAMTOR3	5594	8649	ENST00000215832 [P28482-1];ENST00000398822 [P28482-1];ENST00000544786 [P28482-2]	ENST00000226522 [Q9UHA4-2];ENST00000499666 [Q9UHA4-1]	direct interaction	biogrid	11266467	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04010
439950.html	Q6IAA8	Q5VZM2	LAMTOR1	RRAGB	55004	10325	ENST00000278671	ENST00000262850 [Q5VZM2-1];ENST00000374941 [Q5VZM2-2]	physical association;association	intact	22980980;20381137;25561175;25567906	0.76649	0.6	0.678154849573458	High	Small-scale	hsa04150
87077.html	O60346	P31749	PHLPP1	AKT1	23239	207	ENST00000262719 [O60346-1]	ENST00000349310 [P31749-1];ENST00000402615 [P31749-1];ENST00000407796 [P31749-1];ENST00000554581 [P31749-1];ENST00000554848 [P31749-1];ENST00000555528 [P31749-1]	direct interaction;physical association	biogrid	20605778;15808505	0.64993	1	0.806182361503897	High	Small-scale	hsa04151
338820.html	P01589	P19838	IL2RA	NFKB1	3559	4790	ENST00000379959	ENST00000226574 [P19838-2];ENST00000394820 [P19838-1];ENST00000505458 [P19838-1];ENST00000600343 [P19838-3]	direct interaction	hprd	2497520	0.27808	0.55	0.391080554361886	High	Small-scale	hsa04658
106118.html	P62258	P30305	YWHAE	CDC25B	7531	994	ENST00000264335 [P62258-1];ENST00000571732 [P62258-2];ENST00000616643 [P62258-2];ENST00000627231 [P62258-1]	ENST00000245960 [P30305-1];ENST00000340833 [P30305-3];ENST00000439880 [P30305-2]	direct interaction;physical association	intact	10713667;7644510;15173315;12871587	0.78258	0.6	0.685235725863735	High	Small-scale	hsa04110
47396.html	P33993	O75419	MCM7	CDC45	4176	8318	ENST00000303887 [P33993-1];ENST00000343023 [P33993-2];ENST00000354230 [P33993-3];ENST00000621318 [P33993-3]	ENST00000263201 [O75419-1];ENST00000404724 [O75419-2];ENST00000407835 [O75419-1];ENST00000437685 [O75419-3]	direct interaction;physical association	biogrid	10518787;16912045;12614612	0.69673	1	0.834703540186574	High	Small-scale	hsa04110
250527.html	Q6UXS9	P55211	CASP12	CASP9	100506742	842	ENST00000375726;ENST00000417998;ENST00000422698;ENST00000458137;ENST00000508062	ENST00000333868 [P55211-1];ENST00000348549 [P55211-2];ENST00000375890 [P55211-4]	direct interaction	biogrid	12097332	0.41838	1	0.646823005156743	High	Small-scale	hsa05161
332601.html	Q92558	P63000	WASF1	RAC1	8936	5879	ENST00000359451;ENST00000392586;ENST00000392587;ENST00000392588;ENST00000392589	ENST00000348035 [P63000-1];ENST00000356142 [P63000-2]	direct interaction;physical association	biogrid	9843499;19363480	0.61657	0.6	0.608228575454985	High	Small-scale	hsa04520;hsa04666;hsa05100;hsa05131;hsa05132;hsa05231
318459.html	Q12933	Q9Y6Q6	TRAF2	TNFRSF11A	7186	8792	ENST00000247668 [Q12933-1]	ENST00000269485 [Q9Y6Q6-2];ENST00000586569 [Q9Y6Q6-1];ENST00000616710 [Q9Y6Q6-4];ENST00000617039 [Q9Y6Q6-3]	direct interaction;physical association	intact	9685412;9774460;9852070;10025951;10075662	0.87937	0.6	0.726375935724746	High	Small-scale	hsa04064;hsa04380
87728.html	B5BUA4	P30154	SGOL1	PPP2R1B	151648	5519		ENST00000311129 [P30154-2];ENST00000341980 [P30154-4];ENST00000393055 [P30154-5];ENST00000426998 [P30154-3];ENST00000527614 [P30154-1]	direct interaction	hprd	16541025;16541024	0.56831	0.5	0.533061910100506	High	Small-scale	hsa04114
116293.html	P15056	Q02156	BRAF	PRKCE	673	5581	ENST00000288602	ENST00000306156	direct interaction;physical association	intact	16810323	0.52419	1	0.72400966844373	High	Small-scale	hsa04270
105996.html	Q13224	P05129	GRIN2B	PRKCG	2904	5582	ENST00000609686	ENST00000263431 [P05129-1]	direct interaction	hprd	12147342;11306676;8940188	0.48037	0.6	0.536863111044147	High	Small-scale	hsa04720
87683.html	Q13114	Q92844	TRAF3	TANK	7187	10010	ENST00000392745 [Q13114-1];ENST00000539721 [Q13114-2];ENST00000560371 [Q13114-1]	ENST00000259075 [Q92844-1];ENST00000392749 [Q92844-1];ENST00000403609 [Q92844-3]	direct interaction;physical association;association	intact	22079989;14517219;17823124;12005438;14743216;21903422;8710854	0.93075	0.6	0.747295122424869	High	Small-scale	hsa04622
350197.html	Q9C000	P10415	NLRP1	BCL2	22861	596	ENST00000262467 [Q9C000-5];ENST00000269280 [Q9C000-2];ENST00000345221 [Q9C000-2];ENST00000354411 [Q9C000-4];ENST00000544378 [Q9C000-5];ENST00000571451 [Q9C000-2];ENST00000572272 [Q9C000-1];ENST00000577119 [Q9C000-3];ENST00000613500 [Q9C000-5];ENST00000617618 [Q9C000-1];ENST00000619223 [Q9C000-4]	ENST00000333681 [P10415-1];ENST00000398117 [P10415-1];ENST00000589955 [P10415-2]	direct interaction;physical association;association	intact	19223583;17418785	0.65863	1	0.811560225738053	High	Small-scale	hsa04621
294605.html	P62993	O43561	GRB2	LAT	2885	27040	ENST00000316615 [P62993-2];ENST00000316804 [P62993-1];ENST00000392562 [P62993-1];ENST00000392563 [P62993-2];ENST00000392564 [P62993-1]	ENST00000360872 [O43561-1];ENST00000395456 [O43561-2];ENST00000395461 [O43561-3];ENST00000454369 [O43561-4];ENST00000564277 [O43561-4];ENST00000566177 [O43561-5]	direct interaction;physical association;association	intact	16938345;9489702;11368773;16906159;10811803;8063801;12186560	0.93057	0.6	0.747222858322736	High	Small-scale	hsa04660
265046.html	Q96RR4	P54646	CAMKK2	PRKAA2	10645	5563	ENST00000324774 [Q96RR4-1];ENST00000337174 [Q96RR4-3];ENST00000347034 [Q96RR4-4];ENST00000392473 [Q96RR4-2];ENST00000392474 [Q96RR4-7];ENST00000402834 [Q96RR4-1];ENST00000404169 [Q96RR4-1];ENST00000412367 [Q96RR4-3];ENST00000446440 [Q96RR4-6];ENST00000538733 [Q96RR4-5]	ENST00000371244	physical association	intact	20562859	0.44248	1	0.665191701692076	High	High-throughput	hsa04152;hsa04211;hsa04920;hsa04921
536870.html	Q15139	Q02156	PRKD1	PRKCE	5587	5581	ENST00000331968;ENST00000616995	ENST00000306156	direct interaction	dip	19011111;10092595	0.54423	1	0.737719458873087	High	Small-scale	hsa04925
