Pathway	Description
hsa05110	Vibrio cholerae infection - Homo sapiens (human)
hsa04972	Pancreatic secretion - Homo sapiens (human)
hsa04330	Notch signaling pathway - Homo sapiens (human)
hsa04370	VEGF signaling pathway - Homo sapiens (human)
hsa04924	Renin secretion - Homo sapiens (human)
hsa04921	Oxytocin signaling pathway - Homo sapiens (human)
hsa04726	Serotonergic synapse - Homo sapiens (human)
hsa05166	HTLV-I infection - Homo sapiens (human)
hsa05203	Viral carcinogenesis - Homo sapiens (human)
hsa04660	T cell receptor signaling pathway - Homo sapiens (human)
hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)
hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)
hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)
hsa05214	Glioma - Homo sapiens (human)
hsa04910	Insulin signaling pathway - Homo sapiens (human)
hsa04971	Gastric acid secretion - Homo sapiens (human)
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
hsa04940	Type I diabetes mellitus - Homo sapiens (human)
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)
hsa04630	Jak-STAT signaling pathway - Homo sapiens (human)
hsa05206	MicroRNAs in cancer - Homo sapiens (human)
hsa05310	Asthma - Homo sapiens (human)
hsa04510	Focal adhesion - Homo sapiens (human)
hsa05210	Colorectal cancer - Homo sapiens (human)
hsa04728	Dopaminergic synapse - Homo sapiens (human)
hsa03015	mRNA surveillance pathway - Homo sapiens (human)
hsa05217	Basal cell carcinoma - Homo sapiens (human)
hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)
hsa05221	Acute myeloid leukemia - Homo sapiens (human)
hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)
hsa05131	Shigellosis - Homo sapiens (human)
hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
hsa05200	Pathways in cancer - Homo sapiens (human)
hsa04742	Taste transduction - Homo sapiens (human)
hsa04310	Wnt signaling pathway - Homo sapiens (human)
hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)
hsa05031	Amphetamine addiction - Homo sapiens (human)
hsa05133	Pertussis - Homo sapiens (human)
hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)
hsa05132	Salmonella infection - Homo sapiens (human)
hsa04320	Dorso-ventral axis formation - Homo sapiens (human)
hsa05224	Breast cancer - Homo sapiens (human)
hsa05330	Allograft rejection - Homo sapiens (human)
hsa04145	Phagosome - Homo sapiens (human)
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)
hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
hsa04668	TNF signaling pathway - Homo sapiens (human)
hsa04360	Axon guidance - Homo sapiens (human)
hsa04614	Renin-angiotensin system - Homo sapiens (human)
hsa05332	Graft-versus-host disease - Homo sapiens (human)
hsa04932	Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)
hsa04210	Apoptosis - Homo sapiens (human)
hsa04068	FoxO signaling pathway - Homo sapiens (human)
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)
hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)
hsa04912	GnRH signaling pathway - Homo sapiens (human)
hsa05152	Tuberculosis - Homo sapiens (human)
hsa05320	Autoimmune thyroid disease - Homo sapiens (human)
hsa04062	Chemokine signaling pathway - Homo sapiens (human)
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)
hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)
hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
hsa04115	p53 signaling pathway - Homo sapiens (human)
hsa03013	RNA transport - Homo sapiens (human)
hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)
hsa04913	Ovarian steroidogenesis - Homo sapiens (human)
hsa05220	Chronic myeloid leukemia - Homo sapiens (human)
hsa04976	Bile secretion - Homo sapiens (human)
hsa05142	Chagas disease (American trypanosomiasis) - Homo sapiens (human)
hsa05134	Legionellosis - Homo sapiens (human)
hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)
hsa04390	Hippo signaling pathway - Homo sapiens (human)
hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
hsa05164	Influenza A - Homo sapiens (human)
hsa05168	Herpes simplex infection - Homo sapiens (human)
hsa05223	Non-small cell lung cancer - Homo sapiens (human)
hsa05161	Hepatitis B - Homo sapiens (human)
hsa04530	Tight junction - Homo sapiens (human)
hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)
hsa05212	Pancreatic cancer - Homo sapiens (human)
hsa05144	Malaria - Homo sapiens (human)
hsa05231	Choline metabolism in cancer - Homo sapiens (human)
hsa05143	African trypanosomiasis - Homo sapiens (human)
hsa04710	Circadian rhythm - Homo sapiens (human)
hsa04725	Cholinergic synapse - Homo sapiens (human)
hsa04930	Type II diabetes mellitus - Homo sapiens (human)
hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)
hsa04960	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)
hsa04024	cAMP signaling pathway - Homo sapiens (human)
hsa04922	Glucagon signaling pathway - Homo sapiens (human)
hsa05016	Huntington's disease - Homo sapiens (human)
hsa04122	Sulfur relay system - Homo sapiens (human)
hsa04950	Maturity onset diabetes of the young - Homo sapiens (human)
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
hsa05160	Hepatitis C - Homo sapiens (human)
hsa04659	Th17 cell differentiation - Homo sapiens (human)
hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)
hsa05414	Dilated cardiomyopathy (DCM) - Homo sapiens (human)
hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)
hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)
hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)
hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)
hsa04713	Circadian entrainment - Homo sapiens (human)
hsa05410	Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)
hsa05215	Prostate cancer - Homo sapiens (human)
hsa04014	Ras signaling pathway - Homo sapiens (human)
hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
hsa04015	Rap1 signaling pathway - Homo sapiens (human)
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)
hsa04727	GABAergic synapse - Homo sapiens (human)
hsa04010	MAPK signaling pathway - Homo sapiens (human)
hsa05020	Prion diseases - Homo sapiens (human)
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)
hsa05218	Melanoma - Homo sapiens (human)
hsa04140	Autophagy - animal - Homo sapiens (human)
hsa04915	Estrogen signaling pathway - Homo sapiens (human)
hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)
hsa05145	Toxoplasmosis - Homo sapiens (human)
