#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
intact:EBI-526084	intact:EBI-372128	uniprotkb:O54918-3	uniprotkb:Q9NP97	psi-mi:o54918-3|psi-mi:Bcl2l11|uniprotkb:Bcl2l11|uniprotkb:Bim|uniprotkb:Bcl2-interacting mediator of cell death|intact:EBI-7424890|intact:MINT-89475	psi-mi:dlrb1_human|psi-mi:DYNLRB1|uniprotkb:Q5TC72|uniprotkb:Q96IV3|uniprotkb:Q9NQM2|uniprotkb:B1AKR5|uniprotkb:DYNLRB1|uniprotkb:BITH|uniprotkb:DNLC2A|uniprotkb:HSPC162|uniprotkb:Dynein light chain 2A, cytoplasmic|uniprotkb:Dynein-associated protein Km23|uniprotkb:Bithoraxoid-like protein|uniprotkb:DNCL2A|uniprotkb:ROBLD1|uniprotkb:Roadblock domain-containing protein 1	psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Puthalakath et al. (1999)	pubmed:10198631|mint:MINT-5211354	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-526268|intact:EBI-526131|intact:EBI-526288	intact-miscore:0.5079592
intact:EBI-307973	intact:EBI-307973	uniprotkb:Q61686	uniprotkb:Q61686	psi-mi:cbx5_mouse|psi-mi:Cbx5|uniprotkb:Q9CS35|uniprotkb:Q9CXD1|uniprotkb:Cbx5|uniprotkb:Hp1a|uniprotkb:Heterochromatin protein 1 homolog alpha	psi-mi:cbx5_mouse|psi-mi:Cbx5|uniprotkb:Q9CS35|uniprotkb:Q9CXD1|uniprotkb:Cbx5|uniprotkb:Hp1a|uniprotkb:Heterochromatin protein 1 homolog alpha	psi-mi:"MI:0096"(pull down)	Yamamoto et al. (2003)	pubmed:12565857|mint:MINT-5216088	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8596042	intact-miscore:0.43887317
intact:EBI-302230	intact:EBI-307973	uniprotkb:O54864	uniprotkb:Q61686	psi-mi:suv91_mouse|psi-mi:Suv39h1|uniprotkb:Q3TEW2|uniprotkb:Q3UT51|uniprotkb:Q8C2L3|uniprotkb:Q9JLC7|uniprotkb:Q9JLP8|uniprotkb:Suv39h1|uniprotkb:Suv39h|uniprotkb:Suppressor of variegation 3-9 homolog 1|uniprotkb:Position-effect variegation 3-9 homolog|uniprotkb:Histone H3-K9 methyltransferase 1	psi-mi:cbx5_mouse|psi-mi:Cbx5|uniprotkb:Q9CS35|uniprotkb:Q9CXD1|uniprotkb:Cbx5|uniprotkb:Hp1a|uniprotkb:Heterochromatin protein 1 homolog alpha	psi-mi:"MI:0096"(pull down)	Yamamoto et al. (2003)	pubmed:12565857|mint:MINT-5216088	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8596072	intact-miscore:0.43887317
intact:EBI-81752	intact:EBI-489611	uniprotkb:P60953	uniprotkb:P19878	psi-mi:cdc42_human|psi-mi:CDC42|uniprotkb:P21181|uniprotkb:P25763|uniprotkb:Q7L8R5|uniprotkb:Q9UDI2|uniprotkb:CDC42|uniprotkb:G25K GTP-binding protein	psi-mi:ncf2_human|psi-mi:NCF2|uniprotkb:Q2PP06|uniprotkb:Q8NFC7|uniprotkb:Q9BV51|uniprotkb:B2R6Q1|uniprotkb:B4DKQ7|uniprotkb:B4DQA7|uniprotkb:E9PHJ2|uniprotkb:E9PHX3|uniprotkb:NOXA2|uniprotkb:P67PHOX|uniprotkb:Neutrophil NADPH oxidase factor 2|uniprotkb:NADPH oxidase activator 2|uniprotkb:67 kDa neutrophil oxidase factor|uniprotkb:p67-phox|uniprotkb:NCF2	psi-mi:"MI:0065"(isothermal titration calorimetry)	Lapouge et al. (2000)	pubmed:11090627|mint:MINT-5213243	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-489729	intact-miscore:0.40116468
intact:EBI-77797	intact:EBI-296693	uniprotkb:P35609	uniprotkb:Q9Y561	psi-mi:actn2_human|psi-mi:ACTN2|uniprotkb:Q86TF4|uniprotkb:Q86TI8|uniprotkb:B2RCS5|uniprotkb:B1ANE4|uniprotkb:ACTN2|uniprotkb:Alpha-actinin skeletal muscle isoform 2|uniprotkb:F-actin cross-linking protein|intact:EBI-928705	psi-mi:lrp12_human|psi-mi:LRP12|uniprotkb:B4DRQ2|uniprotkb:A8K137|uniprotkb:ST7|uniprotkb:LRP12|uniprotkb:Suppressor of tumorigenicity 7 protein	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-353709	intact-miscore:0.40116468
intact:EBI-296693	intact:EBI-296701	uniprotkb:Q9Y561	uniprotkb:Q9UBF9	psi-mi:lrp12_human|psi-mi:LRP12|uniprotkb:B4DRQ2|uniprotkb:A8K137|uniprotkb:ST7|uniprotkb:LRP12|uniprotkb:Suppressor of tumorigenicity 7 protein	psi-mi:myoti_human|psi-mi:MYOT|uniprotkb:A0A4R6|uniprotkb:B4DT79|uniprotkb:MYOT|uniprotkb:TTID|uniprotkb:Titin immunoglobulin domain protein|uniprotkb:Myofibrillar titin-like Ig domains protein|uniprotkb:57 kDa cytoskeletal protein	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-353714	intact-miscore:0.40116468
intact:EBI-296723	intact:EBI-296693	uniprotkb:O95295	uniprotkb:Q9Y561	psi-mi:snapn_human|psi-mi:SNAPIN|uniprotkb:Q5SXU8|uniprotkb:D3DV56|uniprotkb:SNAPIN|uniprotkb:SNAP25BP|uniprotkb:SNAPAP|uniprotkb:Synaptosomal-associated protein 25-binding protein|uniprotkb:BLOC1S7|uniprotkb:Biogenesis of lysosome-related organelles complex 1 subunit 7	psi-mi:lrp12_human|psi-mi:LRP12|uniprotkb:B4DRQ2|uniprotkb:A8K137|uniprotkb:ST7|uniprotkb:LRP12|uniprotkb:Suppressor of tumorigenicity 7 protein	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-353721	intact-miscore:0.40116468
intact:EBI-300173	intact:EBI-1057545	uniprotkb:P05107	uniprotkb:Q9Y3P9	psi-mi:itb2_human|psi-mi:ITGB2|uniprotkb:Q16418|uniprotkb:B3KTS8|uniprotkb:Q53HS5|uniprotkb:Q9UD72|uniprotkb:D3DSM1|uniprotkb:ITGB2|uniprotkb:CD18|uniprotkb:Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|uniprotkb:Complement receptor C3 subunit beta|uniprotkb:MFI7	psi-mi:rbgp1_human|psi-mi:RABGAP1|uniprotkb:Q05CW2|uniprotkb:Q6ZMY1|uniprotkb:Q9HA28|uniprotkb:Q9P0E2|uniprotkb:Q9UG67|uniprotkb:B9A6L2|uniprotkb:RABGAP1|uniprotkb:HSPC094|uniprotkb:Rab6 GTPase-activating protein GAPCenA|uniprotkb:GAP and centrosome-associated protein|intact:EBI-2948690	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8609949	intact-miscore:0.43887317
intact:EBI-300173	intact:EBI-520230	uniprotkb:P05107	uniprotkb:P35570	psi-mi:itb2_human|psi-mi:ITGB2|uniprotkb:Q16418|uniprotkb:B3KTS8|uniprotkb:Q53HS5|uniprotkb:Q9UD72|uniprotkb:D3DSM1|uniprotkb:ITGB2|uniprotkb:CD18|uniprotkb:Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|uniprotkb:Complement receptor C3 subunit beta|uniprotkb:MFI7	psi-mi:irs1_rat|psi-mi:Irs1|uniprotkb:pp185|uniprotkb:Irs1|uniprotkb:Irs-1	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:10116(rat)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8609971	intact-miscore:0.43887317
intact:EBI-703066	intact:EBI-300201	uniprotkb:P05556	uniprotkb:P98083	psi-mi:itb1_human|psi-mi:ITGB1|uniprotkb:Q7Z3V1|uniprotkb:Q8WUM6|uniprotkb:P78466|uniprotkb:P78467|uniprotkb:Q13089|uniprotkb:Q13090|uniprotkb:Q13091|uniprotkb:Q13212|uniprotkb:Q14622|uniprotkb:Q14647|uniprotkb:A8K6N2|uniprotkb:Q29RW2|uniprotkb:D3DRX9|uniprotkb:D3DRY3|uniprotkb:D3DRY4|uniprotkb:D3DRY5|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Glycoprotein IIa|intact:EBI-4289597	psi-mi:shc1_mouse|psi-mi:Shc1|uniprotkb:Q3U2Q7|uniprotkb:Q8BFY3|uniprotkb:Q8K4C6|uniprotkb:Q8K4C7|uniprotkb:ShcA|uniprotkb:Shc1|uniprotkb:Shc|uniprotkb:Src homology 2 domain-containing-transforming protein C1|uniprotkb:SHC-transforming protein A	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:10090(mouse)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610457	intact-miscore:0.43887317
intact:EBI-300201	intact:EBI-300173	uniprotkb:P98083	uniprotkb:P05107	psi-mi:shc1_mouse|psi-mi:Shc1|uniprotkb:Q3U2Q7|uniprotkb:Q8BFY3|uniprotkb:Q8K4C6|uniprotkb:Q8K4C7|uniprotkb:ShcA|uniprotkb:Shc1|uniprotkb:Shc|uniprotkb:Src homology 2 domain-containing-transforming protein C1|uniprotkb:SHC-transforming protein A	psi-mi:itb2_human|psi-mi:ITGB2|uniprotkb:Q16418|uniprotkb:B3KTS8|uniprotkb:Q53HS5|uniprotkb:Q9UD72|uniprotkb:D3DSM1|uniprotkb:ITGB2|uniprotkb:CD18|uniprotkb:Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|uniprotkb:Complement receptor C3 subunit beta|uniprotkb:MFI7	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610479	intact-miscore:0.43887317
intact:EBI-300173	intact:EBI-375576	uniprotkb:P05107	uniprotkb:Q12929	psi-mi:itb2_human|psi-mi:ITGB2|uniprotkb:Q16418|uniprotkb:B3KTS8|uniprotkb:Q53HS5|uniprotkb:Q9UD72|uniprotkb:D3DSM1|uniprotkb:ITGB2|uniprotkb:CD18|uniprotkb:Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|uniprotkb:Complement receptor C3 subunit beta|uniprotkb:MFI7	psi-mi:eps8_human|psi-mi:EPS8|uniprotkb:A6NMC3|uniprotkb:Q8N6J0|uniprotkb:B4DX66|uniprotkb:A8K6W2|uniprotkb:A8KA66|uniprotkb:EPS8	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610546	intact-miscore:0.43887317
intact:EBI-375576	intact:EBI-702932	uniprotkb:Q12929	uniprotkb:P26010	psi-mi:eps8_human|psi-mi:EPS8|uniprotkb:A6NMC3|uniprotkb:Q8N6J0|uniprotkb:B4DX66|uniprotkb:A8K6W2|uniprotkb:A8KA66|uniprotkb:EPS8	psi-mi:itb7_human|psi-mi:ITGB7|uniprotkb:Q9UCP7|uniprotkb:Q9UCS7|uniprotkb:Gut homing receptor beta subunit|uniprotkb:ITGB7	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610656	intact-miscore:0.43887317
intact:EBI-7876312	intact:EBI-300173	uniprotkb:Q7Z6G8	uniprotkb:P05107	psi-mi:ans1b_human|psi-mi:ANKS1B|uniprotkb:Q5XLJ0|uniprotkb:B4DH98|uniprotkb:A5PKY5|uniprotkb:F8VZR9|uniprotkb:F8VPM3|uniprotkb:A8MSN4|uniprotkb:A8K153|uniprotkb:Q6NUS4|uniprotkb:Q7Z6G7|uniprotkb:Q6IVB5|uniprotkb:A7E259|uniprotkb:Q7Z6G6|uniprotkb:Q8TAP3|uniprotkb:F8WC27|uniprotkb:Q9NRX7|uniprotkb:Q9Y5K9|uniprotkb:B4DFP6|uniprotkb:ANKS1B|uniprotkb:Amyloid-beta protein intracellular domain-associated protein 1|uniprotkb:E2A-PBX1-associated protein|intact:MINT-4903813|intact:MINT-4918769|intact:MINT-1492880|intact:MINT-258807	psi-mi:itb2_human|psi-mi:ITGB2|uniprotkb:Q16418|uniprotkb:B3KTS8|uniprotkb:Q53HS5|uniprotkb:Q9UD72|uniprotkb:D3DSM1|uniprotkb:ITGB2|uniprotkb:CD18|uniprotkb:Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|uniprotkb:Complement receptor C3 subunit beta|uniprotkb:MFI7	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610846	intact-miscore:0.43887317
intact:EBI-703066	intact:EBI-3922283	uniprotkb:P05556	uniprotkb:Q9UBP9	psi-mi:itb1_human|psi-mi:ITGB1|uniprotkb:Q7Z3V1|uniprotkb:Q8WUM6|uniprotkb:P78466|uniprotkb:P78467|uniprotkb:Q13089|uniprotkb:Q13090|uniprotkb:Q13091|uniprotkb:Q13212|uniprotkb:Q14622|uniprotkb:Q14647|uniprotkb:A8K6N2|uniprotkb:Q29RW2|uniprotkb:D3DRX9|uniprotkb:D3DRY3|uniprotkb:D3DRY4|uniprotkb:D3DRY5|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Glycoprotein IIa|intact:EBI-4289597	psi-mi:gulp1_human|psi-mi:GULP1|uniprotkb:Q9BVL3|uniprotkb:B2RB51|uniprotkb:Q53RF3|uniprotkb:Q53PC1|uniprotkb:D3DPH1|uniprotkb:B8ZZ72|uniprotkb:B4DQ40|uniprotkb:E9PB86|uniprotkb:GULP1|uniprotkb:CED6|uniprotkb:GULP|uniprotkb:Cell death protein 6 homolog|uniprotkb:PTB domain adapter protein CED-6|uniprotkb:Protein GULP	psi-mi:"MI:0096"(pull down)	Calderwood et al. (2003)	mint:MINT-5216162|pubmed:12606711	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8610904	intact-miscore:0.43887317
